match_id,stage,round,group,date,time,team_a,team_b,ground,neutral,source_status
1,group_stage,Matchday 1,Group A,2026-06-11,13:00 UTC-6,Mexico,South Africa,Mexico City,True,downloaded
2,group_stage,Matchday 1,Group A,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,Guadalajara (Zapopan),True,downloaded
3,group_stage,Matchday 8,Group A,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,Atlanta,True,downloaded
4,group_stage,Matchday 8,Group A,2026-06-18,19:00 UTC-6,Mexico,South Korea,Guadalajara (Zapopan),True,downloaded
5,group_stage,Matchday 14,Group A,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,Mexico City,True,downloaded
6,group_stage,Matchday 14,Group A,2026-06-24,19:00 UTC-6,South Africa,South Korea,Monterrey (Guadalupe),True,downloaded
7,group_stage,Matchday 2,Group B,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,Toronto,True,downloaded
8,group_stage,Matchday 3,Group B,2026-06-13,12:00 UTC-7,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),True,downloaded
9,group_stage,Matchday 8,Group B,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,Los Angeles (Inglewood),True,downloaded
10,group_stage,Matchday 8,Group B,2026-06-18,15:00 UTC-7,Canada,Qatar,Vancouver,True,downloaded
11,group_stage,Matchday 14,Group B,2026-06-24,12:00 UTC-7,Switzerland,Canada,Vancouver,True,downloaded
12,group_stage,Matchday 14,Group B,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,Seattle,True,downloaded
13,group_stage,Matchday 3,Group C,2026-06-13,18:00 UTC-4,Brazil,Morocco,New York/New Jersey (East Rutherford),True,downloaded
14,group_stage,Matchday 3,Group C,2026-06-13,21:00 UTC-4,Haiti,Scotland,Boston (Foxborough),True,downloaded
15,group_stage,Matchday 9,Group C,2026-06-19,18:00 UTC-4,Scotland,Morocco,Boston (Foxborough),True,downloaded
16,group_stage,Matchday 9,Group C,2026-06-19,20:30 UTC-4,Brazil,Haiti,Philadelphia,True,downloaded
