match_id,date,team_a,team_b,bookmaker,odds_team_a,odds_draw,odds_team_b,market_type,source_timestamp,over_under_line,odds_over,odds_under,spread,hours_before_kickoff,implied_prob_team_a,implied_prob_draw,implied_prob_team_b
3,2026-06-18,Czechia,South Africa,betmgm,1.9803921568627452,3.3,3.9,1x2,2026-06-11T19:45:03.321000+00:00,2.5,2.2,1.5714285714285714,,164.25,,,
26,2026-06-14,Ivory Coast,Ecuador,fanduel,3.6,2.8,2.45,1x2,2026-06-11T20:41:02.762000+00:00,,,,,74.32,,,
62,2026-06-17,Uzbekistan,Colombia,fanduel,9.5,4.7,1.3703703703703702,1x2,2026-06-11T20:41:02.762000+00:00,,,,,149.32,,,
25,2026-06-14,Germany,Curaçao,fanduel,1.05,18.0,41.0,1x2,2026-06-11T20:41:02.762000+00:00,,,,,68.32,,,
56,2026-06-16,Austria,Jordan,fanduel,1.3125,5.6,9.5,1x2,2026-06-11T20:41:02.762000+00:00,,,,,127.32,,,
13,2026-06-13,Brazil,Morocco,fanduel,1.6666666666666665,3.7,5.5,1x2,2026-06-11T20:41:02.762000+00:00,,,,,49.32,,,
19,2026-06-12,United States,Paraguay,fanduel,1.9523809523809523,3.4,4.1,1x2,2026-06-11T20:41:02.762000+00:00,,,,,28.32,,,
37,2026-06-15,Belgium,Egypt,fanduel,1.625,3.9,5.7,1x2,2026-06-11T20:41:02.762000+00:00,,,,,94.32,,,
8,2026-06-13,Qatar,Switzerland,fanduel,14.0,6.5,1.2,1x2,2026-06-11T20:41:02.762000+00:00,,,,,46.32,,,
14,2026-06-13,Haiti,Scotland,fanduel,5.9,4.2,1.5714285714285714,1x2,2026-06-11T20:41:02.762000+00:00,,,,,52.32,,,
67,2026-06-17,England,Croatia,fanduel,1.7142857142857144,3.7,5.0,1x2,2026-06-11T20:41:02.762000+00:00,,,,,143.32,,,
68,2026-06-17,Ghana,Panama,fanduel,2.15,3.4,3.5,1x2,2026-06-11T20:41:02.762000+00:00,,,,,146.32,,,
44,2026-06-15,Saudi Arabia,Uruguay,fanduel,7.5,4.4,1.4166666666666667,1x2,2026-06-11T20:41:02.762000+00:00,,,,,97.32,,,
55,2026-06-16,Argentina,Algeria,fanduel,1.3846153846153846,4.6,8.5,1x2,2026-06-11T20:41:02.762000+00:00,,,,,124.32,,,
31,2026-06-14,Netherlands,Japan,fanduel,2.0,3.5,3.7,1x2,2026-06-11T20:41:02.762000+00:00,,,,,71.32,,,
49,2026-06-16,France,Senegal,fanduel,1.4545454545454546,4.4,7.0,1x2,2026-06-11T20:41:02.762000+00:00,,,,,118.32,,,
21,2026-06-19,United States,Australia,fanduel,1.7142857142857144,3.8,4.9,1x2,2026-06-11T20:41:02.762000+00:00,,,,,190.32,,,
