# Official FIFA World Cup 26 Annexe C: combinations for eight best third-placed teams.
# Source: https://digitalhub.fifa.com/m/636f5c9c6f29771f/original/FWC2026_regulations_EN.pdf
# Slots follow simulator Round-of-32 match order: 74, 77, 79, 80, 81, 82, 85, 87.
qualified_third_groups,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8
E-F-G-H-I-J-K-L,F,G,E,K,I,H,J,L
D-F-G-H-I-J-K-L,D,F,H,K,I,J,G,L
D-E-G-H-I-J-K-L,D,G,E,K,I,H,J,L
D-E-F-H-I-J-K-L,D,F,E,K,I,H,J,L
D-E-F-G-I-J-K-L,D,F,E,K,I,J,G,L
D-E-F-G-H-J-K-L,D,F,E,K,J,H,G,L
D-E-F-G-H-I-K-L,D,F,E,K,I,H,G,L
D-E-F-G-H-I-J-L,D,F,E,I,J,H,G,L
D-E-F-G-H-I-J-K,D,F,E,K,J,H,G,I
C-F-G-H-I-J-K-L,C,F,H,K,I,J,G,L
C-E-G-H-I-J-K-L,C,G,E,K,I,H,J,L
C-E-F-H-I-J-K-L,C,F,E,K,I,H,J,L
C-E-F-G-I-J-K-L,C,F,E,K,I,J,G,L
C-E-F-G-H-J-K-L,C,F,E,K,J,H,G,L
C-E-F-G-H-I-K-L,C,F,E,K,I,H,G,L
C-E-F-G-H-I-J-L,C,F,E,I,J,H,G,L
C-E-F-G-H-I-J-K,C,F,E,K,J,H,G,I
C-D-G-H-I-J-K-L,C,D,H,K,I,J,G,L
C-D-F-H-I-J-K-L,D,F,C,K,I,H,J,L
C-D-F-G-I-J-K-L,D,F,C,K,I,J,G,L
C-D-F-G-H-J-K-L,D,F,C,K,J,H,G,L
C-D-F-G-H-I-K-L,D,F,C,K,I,H,G,L
C-D-F-G-H-I-J-L,D,F,C,I,J,H,G,L
C-D-F-G-H-I-J-K,D,F,C,K,J,H,G,I
C-D-E-H-I-J-K-L,C,D,E,K,I,H,J,L
C-D-E-G-I-J-K-L,C,D,E,K,I,J,G,L
C-D-E-G-H-J-K-L,C,D,E,K,J,H,G,L
C-D-E-G-H-I-K-L,C,D,E,K,I,H,G,L
C-D-E-G-H-I-J-L,C,D,E,I,J,H,G,L
C-D-E-G-H-I-J-K,C,D,E,K,J,H,G,I
C-D-E-F-I-J-K-L,D,F,C,K,E,I,J,L
C-D-E-F-H-J-K-L,D,F,C,K,E,H,J,L
C-D-E-F-H-I-K-L,D,F,C,K,I,H,E,L
C-D-E-F-H-I-J-L,D,F,C,I,E,H,J,L
C-D-E-F-H-I-J-K,D,F,C,K,E,H,J,I
C-D-E-F-G-J-K-L,D,F,C,K,E,J,G,L
C-D-E-F-G-I-K-L,D,F,C,K,E,I,G,L
C-D-E-F-G-I-J-L,D,F,C,I,E,J,G,L
C-D-E-F-G-I-J-K,D,F,C,K,E,J,G,I
C-D-E-F-G-H-K-L,D,F,C,K,E,H,G,L
C-D-E-F-G-H-J-L,D,F,C,E,J,H,G,L
C-D-E-F-G-H-J-K,D,F,C,K,J,H,G,E
C-D-E-F-G-H-I-L,D,F,C,I,E,H,G,L
C-D-E-F-G-H-I-K,D,F,C,K,E,H,G,I
C-D-E-F-G-H-I-J,D,F,C,I,J,H,G,E
B-F-G-H-I-J-K-L,F,G,H,K,B,I,J,L
