scope,bucket_name,bucket_value,strategy,match_count,average_penka_points,total_penka_points,exact_score_rate,correct_goal_difference_or_draw_rate,correct_winner_only_rate,wrong_rate,difference_vs_favorite_1_0,ci_lower_95_vs_favorite_1_0,ci_upper_95_vs_favorite_1_0,difference_vs_calibrated_optimizer,ci_lower_95_vs_calibrated_optimizer,ci_upper_95_vs_calibrated_optimizer
world_cup_year,year,2014,favorite_1_0,64,2.5625,164,0.15625,0.265625,0.21875,0.359375,0.0,0.0,0.0,0.03125,-0.203125,0.296875
world_cup_year,year,2014,favorite_2_0,64,1.734375,111,0.015625,0.0625,0.5625,0.359375,-0.828125,-1.28125,-0.421875,-0.796875,-1.28125,-0.3121093749999986
world_cup_year,year,2014,favorite_2_1,64,2.6875,172,0.234375,0.1875,0.21875,0.359375,0.125,-0.265625,0.515625,0.15625,-0.296875,0.609375
world_cup_year,year,2014,favorite_3_0,64,1.8125,116,0.0625,0.03125,0.546875,0.359375,-0.75,-1.21875,-0.296875,-0.71875,-1.21875,-0.23398437499999858
world_cup_year,year,2014,draw_0_0,64,1.078125,69,0.109375,0.09375,0.0,0.796875,-1.484375,-2.546875,-0.390625,-1.453125,-2.484375,-0.328125
world_cup_year,year,2014,draw_1_1,64,0.953125,61,0.0625,0.140625,0.0,0.796875,-1.609375,-2.625,-0.5933593749999986,-1.578125,-2.546875,-0.53125
world_cup_year,year,2014,most_likely_score,64,2.015625,129,0.078125,0.296875,0.203125,0.421875,-0.546875,-1.34375,0.203125,-0.515625,-1.296875,0.234375
world_cup_year,year,2014,poisson_best_ev,64,2.34375,150,0.140625,0.265625,0.203125,0.390625,-0.21875,-0.703125,0.171875,-0.1875,-0.625,0.109375
world_cup_year,year,2014,calibrated_optimizer,64,2.53125,162,0.15625,0.25,0.234375,0.359375,-0.03125,-0.296875,0.203125,0.0,0.0,0.0
world_cup_year,year,2014,calibrated_optimizer_with_close_match_fallback,64,2.578125,165,0.15625,0.25,0.234375,0.359375,0.015625,-0.17226562499999987,0.203125,0.046875,-0.09375,0.234375
world_cup_year,year,2014,rank_gap_fixed_score_rule,64,2.5625,164,0.15625,0.265625,0.21875,0.359375,0.0,0.0,0.0,0.03125,-0.203125,0.296875
world_cup_year,year,2014,previous_final_recommendation_rule,64,2.5625,164,0.15625,0.265625,0.21875,0.359375,0.0,0.0,0.0,0.03125,-0.203125,0.296875
world_cup_year,year,2018,favorite_1_0,64,2.015625,129,0.171875,0.140625,0.203125,0.484375,0.0,0.0,0.0,0.234375,-0.234375,0.75
world_cup_year,year,2018,favorite_2_0,64,1.875,120,0.125,0.015625,0.375,0.484375,-0.140625,-0.6566406249999999,0.390625,0.09375,-0.546875,0.765625
world_cup_year,year,2018,favorite_2_1,64,1.890625,121,0.125,0.1875,0.203125,0.484375,-0.125,-0.40625,0.15625,0.109375,-0.32851562499999987,0.5625
world_cup_year,year,2018,favorite_3_0,64,1.40625,90,0.03125,0.015625,0.46875,0.484375,-0.609375,-0.984375,-0.265625,-0.375,-0.859375,0.09375
world_cup_year,year,2018,draw_0_0,64,0.796875,51,0.015625,0.1875,0.0,0.796875,-1.21875,-2.0628906249999996,-0.359375,-0.984375,-1.75,-0.171875
world_cup_year,year,2018,draw_1_1,64,1.03125,66,0.109375,0.09375,0.0,0.796875,-0.984375,-1.921875,-0.015625,-0.75,-1.609375,0.17226562500000142
